customer_id,signup_date,plan,region,acquisition_channel
1,2024-04-12,Standard,West,Organic
2,2025-03-11,Basic,South,Organic
3,2024-09-27,Standard,Central,Referral
4,2024-04-16,Premium,East,Organic
5,2024-03-12,Basic,East,Social Ads
6,2024-01-21,Premium,East,Organic
7,2024-05-01,Basic,North,Social Ads
8,2025-04-11,Standard,North,Paid Search
9,2024-08-02,Premium,East,Organic
10,2024-11-26,Basic,West,Referral
11,2025-04-03,Basic,West,Paid Search
12,2024-03-28,Basic,North,Social Ads
13,2025-01-07,Standard,East,Organic
14,2024-04-09,Standard,West,Partnership
15,2024-05-10,Standard,North,Social Ads
16,2024-11-04,Basic,East,Partnership
17,2024-12-09,Basic,South,Paid Search
18,2025-05-06,Basic,East,Paid Search
19,2025-02-17,Basic,East,Social Ads
20,2025-01-20,Standard,Central,Referral
21,2024-07-10,Premium,Central,Partnership
22,2024-10-03,Standard,South,Organic
23,2024-06-09,Basic,South,Social Ads
24,2025-04-04,Premium,East,Organic
25,2024-11-09,Standard,West,Paid Search
26,2024-01-22,Premium,South,Organic
27,2024-09-09,Standard,East,Organic
28,2025-04-19,Basic,North,Referral
29,2024-02-28,Basic,Central,Organic
30,2025-05-25,Standard,West,Social Ads
31,2025-04-20,Basic,East,Paid Search
32,2024-07-08,Basic,North,Organic
33,2024-08-31,Standard,Central,Organic
34,2025-05-19,Standard,North,Paid Search
35,2024-05-10,Standard,East,Organic
36,2025-04-29,Basic,South,Social Ads
37,2024-01-21,Basic,Central,Partnership
38,2024-06-15,Standard,North,Organic
39,2024-09-30,Premium,South,Organic
40,2025-01-22,Standard,West,Paid Search
41,2024-11-11,Premium,East,Social Ads
42,2024-01-14,Standard,East,Organic
43,2024-08-29,Standard,Central,Organic
44,2024-12-11,Basic,North,Paid Search
45,2024-12-05,Standard,West,Partnership
46,2024-04-01,Standard,Central,Organic
47,2025-01-01,Standard,Central,Organic
48,2025-03-30,Standard,North,Partnership
49,2025-03-03,Standard,West,Social Ads
50,2025-05-23,Basic,North,Social Ads
51,2024-02-04,Standard,East,Paid Search
52,2024-07-24,Basic,South,Partnership
53,2024-03-21,Premium,East,Social Ads
54,2025-01-22,Basic,East,Referral
55,2024-01-02,Basic,Central,Social Ads
56,2025-01-24,Basic,East,Social Ads
57,2024-04-15,Standard,West,Organic
58,2025-04-21,Basic,East,Organic
59,2025-02-05,Basic,West,Social Ads
60,2024-06-10,Standard,North,Organic
61,2024-07-20,Basic,Central,Paid Search
62,2024-09-26,Premium,West,Organic
63,2024-09-27,Premium,East,Social Ads
64,2025-03-31,Standard,Central,Organic
65,2025-04-06,Basic,Central,Social Ads
66,2024-09-08,Standard,West,Paid Search
67,2024-10-22,Basic,West,Organic
68,2024-12-03,Standard,South,Paid Search
69,2024-02-22,Basic,South,Organic
