customer_id,month,active_days,total_sessions
1,2024-04-01,8,25
1,2024-05-01,10,31
1,2024-06-01,5,40
2,2025-03-01,2,11
2,2025-04-01,7,18
2,2025-05-01,5,19
2,2025-06-01,7,21
2,2025-07-01,3,17
3,2024-09-01,14,26
3,2024-10-01,6,23
3,2024-11-01,8,26
3,2024-12-01,7,21
3,2025-01-01,14,36
3,2025-02-01,13,28
3,2025-03-01,7,23
3,2025-04-01,5,18
3,2025-05-01,7,24
3,2025-06-01,5,22
3,2025-07-01,10,30
4,2024-04-01,13,45
4,2024-05-01,10,35
4,2024-06-01,18,45
4,2024-07-01,8,37
4,2024-08-01,10,44
4,2024-09-01,12,34
4,2024-10-01,18,43
5,2024-03-01,6,20
5,2024-04-01,3,22
5,2024-05-01,5,23
5,2024-06-01,2,10
5,2024-07-01,3,17
6,2024-01-01,6,25
6,2024-02-01,8,30
6,2024-03-01,13,35
6,2024-04-01,18,47
6,2024-05-01,9,36
6,2024-06-01,15,39
6,2024-07-01,9,40
6,2024-08-01,11,36
6,2024-09-01,12,34
6,2024-10-01,12,36
6,2024-11-01,18,45
6,2024-12-01,9,32
6,2025-01-01,11,36
7,2024-05-01,8,13
7,2024-06-01,4,17
7,2024-07-01,4,14
7,2024-08-01,3,14
7,2024-09-01,7,28
7,2024-10-01,6,17
7,2024-11-01,3,16
7,2024-12-01,2,10
7,2025-01-01,7,24
7,2025-02-01,6,20
7,2025-03-01,8,22
7,2025-04-01,6,26
7,2025-05-01,10,24
7,2025-06-01,7,18
7,2025-07-01,8,22
8,2025-04-01,11,35
8,2025-05-01,13,24
8,2025-06-01,6,14
8,2025-07-01,11,28
9,2024-08-01,7,32
9,2024-09-01,11,31
9,2024-10-01,13,42
9,2024-11-01,9,40
9,2024-12-01,14,34
9,2025-01-01,16,48
9,2025-02-01,10,34
9,2025-03-01,7,29
10,2024-11-01,8,16
10,2024-12-01,6,21
10,2025-01-01,6,17
10,2025-02-01,3,16
10,2025-03-01,6,18
10,2025-04-01,2,14
11,2025-04-01,2,15
11,2025-05-01,9,24
11,2025-06-01,8,19
11,2025-07-01,9,22
12,2024-03-01,5,21
12,2024-04-01,8,18
12,2024-05-01,8,18
12,2024-06-01,10,24
12,2024-07-01,2,18
12,2024-08-01,4,19
12,2024-09-01,4,18
12,2024-10-01,3,12
12,2024-11-01,7,20
12,2024-12-01,8,22
12,2025-01-01,2,13
