transaction_id,customer_id,amount,date
T00001,CUST0103,0.85,2021-01-01 00:00:00
T00002,CUST0436,22.7,2021-01-01 01:00:00
T00003,CUST0349,15.99,2021-01-01 02:00:00
T00004,CUST0271,35.26,2021-01-01 03:00:00
T00005,CUST0107,20.5,2021-01-01 04:00:00
T00006,CUST0072,64.76,2021-01-01 05:00:00
T00007,CUST0189,35.66,2021-01-01 06:00:00
T00008,CUST0021,6.95,2021-01-01 07:00:00
T00009,CUST0103,69.33,2021-01-01 08:00:00
T00010,CUST0122,5.23,2021-01-01 09:00:00
T00011,CUST0467,91.33,2021-01-01 10:00:00
T00012,CUST0215,133.99,2021-01-01 11:00:00
T00013,CUST0331,19.46,2021-01-01 12:00:00
T00014,CUST0459,130.28,2021-01-01 13:00:00
T00015,CUST0088,78.75,2021-01-01 14:00:00
T00016,CUST0373,127.83,2021-01-01 15:00:00
T00017,CUST0100,54.87,2021-01-01 16:00:00
T00018,CUST0360,13.44,2021-01-01 17:00:00
T00019,CUST0152,112.46,2021-01-01 18:00:00
T00020,CUST0131,10.18,2021-01-01 19:00:00
T00021,CUST0150,11.98,2021-01-01 20:00:00
T00022,CUST0309,15.81,2021-01-01 21:00:00
T00023,CUST0258,18.14,2021-01-01 22:00:00
T00024,CUST0344,36.13,2021-01-01 23:00:00
T00025,CUST0492,62.49,2021-01-02 00:00:00
T00026,CUST0414,130.33,2021-01-02 01:00:00
T00027,CUST0294,4.63,2021-01-02 02:00:00
T00028,CUST0386,154.36,2021-01-02 03:00:00
T00029,CUST0192,127.12,2021-01-02 04:00:00
T00030,CUST0444,2.78,2021-01-02 05:00:00
T00031,CUST0277,22.34,2021-01-02 06:00:00
T00032,CUST0161,83.87,2021-01-02 07:00:00
T00033,CUST0460,47.28,2021-01-02 08:00:00
T00034,CUST0314,75.5,2021-01-02 09:00:00
T00035,CUST0022,63.48,2021-01-02 10:00:00
T00036,CUST0253,34.34,2021-01-02 11:00:00
T00037,CUST0236,2.1,2021-01-02 12:00:00
T00038,CUST0345,43.89,2021-01-02 13:00:00
T00039,CUST0049,2.49,2021-01-02 14:00:00
T00040,CUST0475,46.28,2021-01-02 15:00:00
T00041,CUST0059,80.57,2021-01-02 16:00:00
T00042,CUST0170,43.97,2021-01-02 17:00:00
T00043,CUST0476,290.82,2021-01-02 18:00:00
T00044,CUST0188,30.43,2021-01-02 19:00:00
T00045,CUST0464,69.08,2021-01-02 20:00:00
T00046,CUST0271,55.01,2021-01-02 21:00:00
T00047,CUST0190,237.98,2021-01-02 22:00:00
T00048,CUST0446,62.45,2021-01-02 23:00:00
T00049,CUST0175,8.96,2021-01-03 00:00:00
